epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2564,1.0165,3.12825,1.32027,0.43562,0.43364,0.41131,0.28875,1.27353,2.46772,1.18737,0.00332268,0.00332268,0.00332268
2,190.304,1.02058,2.15618,1.27604,0.56823,0.44473,0.45579,0.30695,1.398,2.3295,1.26224,0.00661209,0.00661209,0.00661209
3,282.072,1.13745,2.0256,1.35001,0.49173,0.26031,0.30009,0.18305,1.56455,2.63526,1.43753,0.00985749,0.00985749,0.00985749
4,372.693,1.21513,1.95127,1.40753,0.44901,0.37016,0.39036,0.23497,1.60753,2.17498,1.47314,0.009802,0.009802,0.009802
5,463.059,1.19202,1.74534,1.38248,0.6456,0.38975,0.44876,0.27398,1.49004,1.98723,1.39542,0.009736,0.009736,0.009736
6,555.76,1.13158,1.55937,1.35356,0.55317,0.47316,0.51702,0.34038,1.35203,1.74135,1.33345,0.00967,0.00967,0.00967
7,649.362,1.10569,1.45391,1.32953,0.52211,0.63582,0.6141,0.41268,1.35177,1.48949,1.29764,0.009604,0.009604,0.009604
8,742.904,1.08051,1.37408,1.30462,0.6277,0.50014,0.56903,0.3828,1.36218,1.56965,1.30567,0.009538,0.009538,0.009538
9,835.879,1.06086,1.30352,1.29398,0.53747,0.56816,0.57142,0.39214,1.26692,1.5182,1.26705,0.009472,0.009472,0.009472
10,928.02,1.01909,1.21694,1.26041,0.58203,0.51944,0.5947,0.39554,1.33974,1.551,1.28236,0.009406,0.009406,0.009406
11,1019.6,1.00545,1.18132,1.25318,0.64515,0.57952,0.66825,0.46749,1.33551,1.38495,1.26616,0.00934,0.00934,0.00934
12,1111.82,0.99139,1.15817,1.24454,0.62503,0.59044,0.6378,0.43412,1.2312,1.4143,1.25672,0.009274,0.009274,0.009274
13,1203.79,0.97811,1.09991,1.23271,0.64823,0.60548,0.64619,0.46056,1.26443,1.39685,1.25125,0.009208,0.009208,0.009208
14,1295.79,0.97118,1.09143,1.22668,0.69992,0.64527,0.67576,0.47853,1.23086,1.3092,1.21053,0.009142,0.009142,0.009142
15,1387.56,0.95953,1.06757,1.22185,0.76314,0.66131,0.75337,0.52711,1.23671,1.20006,1.24126,0.009076,0.009076,0.009076
16,1480.15,0.95135,1.05039,1.22253,0.68926,0.69018,0.73697,0.51535,1.22831,1.16529,1.19608,0.00901,0.00901,0.00901
17,1571.93,0.92555,0.99431,1.20044,0.77942,0.5978,0.71515,0.52062,1.18991,1.34013,1.18213,0.008944,0.008944,0.008944
18,1664.01,0.91555,0.97302,1.1939,0.72725,0.61713,0.67733,0.4825,1.25422,1.29661,1.22614,0.008878,0.008878,0.008878
19,1756.57,0.90424,0.96276,1.19236,0.73229,0.70756,0.76592,0.54946,1.18662,1.1411,1.16389,0.008812,0.008812,0.008812
20,1849.3,0.90612,0.94476,1.17795,0.6395,0.75296,0.75926,0.56338,1.13262,1.02182,1.13271,0.008746,0.008746,0.008746
21,1942.98,0.89273,0.92481,1.16715,0.67772,0.69993,0.72589,0.53531,1.14116,1.02333,1.15097,0.00868,0.00868,0.00868
22,2035.93,0.88271,0.91385,1.16944,0.71042,0.74626,0.7757,0.56803,1.12309,0.99085,1.13237,0.008614,0.008614,0.008614
23,2128.73,0.88642,0.90049,1.16841,0.8052,0.71281,0.7991,0.57509,1.18775,0.97868,1.14787,0.008548,0.008548,0.008548
24,2222.68,0.8662,0.89391,1.1595,0.81384,0.64849,0.77571,0.57643,1.11834,1.06979,1.12589,0.008482,0.008482,0.008482
25,2315.4,0.87645,0.88419,1.15796,0.7559,0.70949,0.76981,0.57178,1.11554,1.02153,1.13746,0.008416,0.008416,0.008416
26,2408.63,0.86435,0.86042,1.15133,0.85135,0.76152,0.84686,0.63475,1.14761,0.90548,1.13479,0.00835,0.00835,0.00835
27,2502.28,0.84476,0.84409,1.1475,0.70731,0.77923,0.78778,0.59408,1.11436,0.98257,1.12202,0.008284,0.008284,0.008284
28,2596.09,0.85477,0.83469,1.14339,0.84577,0.6797,0.79802,0.59481,1.16503,0.88201,1.14752,0.008218,0.008218,0.008218
29,2690.65,0.83708,0.81328,1.13031,0.73628,0.72321,0.76237,0.57289,1.09995,1.10264,1.14658,0.008152,0.008152,0.008152
30,2784.9,0.83295,0.81549,1.13162,0.75335,0.683,0.75116,0.55289,1.20688,1.05344,1.18329,0.008086,0.008086,0.008086
31,2879.41,0.83702,0.80149,1.14089,0.83643,0.64689,0.80366,0.60779,1.07858,0.97201,1.10342,0.00802,0.00802,0.00802
32,2973.58,0.82762,0.79067,1.12916,0.82853,0.77057,0.8325,0.62475,1.06777,0.82839,1.08726,0.007954,0.007954,0.007954
33,3068.23,0.82739,0.79493,1.12793,0.79892,0.75273,0.82707,0.62439,1.02941,0.88263,1.07691,0.007888,0.007888,0.007888
34,3162.5,0.81697,0.77952,1.1215,0.77696,0.70035,0.81178,0.62727,1.07151,0.90528,1.08001,0.007822,0.007822,0.007822
35,3256.3,0.80342,0.76465,1.11723,0.79175,0.73103,0.81222,0.62231,1.05659,0.85849,1.09244,0.007756,0.007756,0.007756
36,3350,0.80946,0.77243,1.12463,0.76213,0.77647,0.8201,0.62775,1.03398,0.83115,1.09084,0.00769,0.00769,0.00769
37,3443.14,0.80919,0.75945,1.12049,0.76178,0.74722,0.82286,0.62798,1.11081,0.94352,1.15454,0.007624,0.007624,0.007624
38,3535.78,0.80846,0.75027,1.11769,0.75608,0.79495,0.84219,0.64199,1.00467,0.80544,1.06586,0.007558,0.007558,0.007558
